source,company_name,crunchbase_url,website,linkedin_url,facebook_url,hq_city,hq_region,hq_country,hq_regions,employee_range,revenue_range,industries,primary_industry,description,founded_year,company_type,last_funding_type,last_funding_amount,last_funding_date,founders,num_founders,cb_rank,growth_confidence,growth_score_tier,operating_status,scraped_at
crunchbase,Hugging Face,https://www.crunchbase.com/organization/hugging-face,https://huggingface.co,https://www.linkedin.com/company/huggingface,https://www.facebook.com/huggingface,Brooklyn,New York,United States,"Greater New York Area , East Coast , Northeastern US",101-250,,"AI Infrastructure , Artificial Intelligence (AI) , Developer Tools , Foundational AI , Generative AI , Machine Learning , Natural Language Processing , Open Source , Software",,"Hugging Face is an AI and machine learning platform for collaborating on models, datasets, and applications. It provides tools and libraries for developing, training, sharing, and deploying machine learning models across text, image, video, audio, and 3D applications. The platform also offers compute, inference, enterprise, and hosting services for teams and developers.",2016,For Profit,Venture - Series Unknown,,"Aug 1, 2024","Clement Delangue , Julien Chaumond , Thomas Wolf",3.0,40,,Low,Active,2026-09-10T14:59:55
crunchbase,Blacksmith,https://www.crunchbase.com/organization/blacksmith-fde4,https://blacksmith.sh,https://www.linkedin.com/company/blacksmithrun,,San Francisco,California,United States,"San Francisco Bay Area , West Coast , Western US",11-50,,"Cloud Computing , Developer Tools , DevOps , SaaS , Software",,"Blacksmith provides a cloud platform for continuous integration (CI) workloads. Its platform runs GitHub Actions on purpose-built infrastructure and provides compute, caching, observability, and security features for software build, test, and deployment workflows.",2024,For Profit,Series B,"$45,000,000","Aug 12, 2026","Aayush Shah , Aditya Jayaprakash , Aditya Maru",3.0,242,,Medium,Active,2026-09-10T14:59:55
crunchbase,Digs,https://www.crunchbase.com/organization/digs-8801,https://digs.com,https://www.linkedin.com/company/digshq,,Vancouver,Washington,United States,"West Coast , Western US",51-100,,"Artificial Intelligence (AI) , Construction , Enterprise Software , SaaS",,"Digs is a SaaS platform that serves builders and contractors by providing tools to streamline preconstruction planning, document collaboration, and homeowner handover. The service offers modules like file management (“DigsCloud”) that centralize project files and enable AI-powered search, collaboration boards (“DigsCanvas”) that generate 2D/3D digital twins of homes from standard blueprints, and handoff/warranty tools (“DigsCare”) that deliver digital home portfolios and postbuild support. The product is designed to bring all stakeholders, including builders, subcontractors, suppliers, and homeowners, into a unified workspace, tracking selections, approvals, changes, and warranties in one place. By converting traditional paper-based processes into a structured digital workflow, Digs aims to reduce information silos and improve communication across the build lifecycle.",2022,For Profit,Series A,"$25,300,000","Aug 25, 2026","Ryan Fink , Ty Frackiewicz",2.0,286,,Low,Active,2026-09-10T14:59:55
crunchbase,MotherDuck,https://www.crunchbase.com/organization/motherduck,https://motherduck.com,https://linkedin.com/company/motherduck,,Seattle,Washington,United States,"Greater Seattle Area , West Coast , Western US",101-250,,"Analytics , Cloud Data Services , Database , Machine Learning , Software",,"MotherDuck provides data infrastructure and analytics for both small and big data. The company combines DuckDB's elegance and speed with the collaborative and scalable capabilities of the cloud to offer a serverless, user-friendly analytics platform suitable for both small and large datasets.",2022,For Profit,Series B,"$52,500,000","Sep 20, 2023","Jordan Tigani , Leila Horejsi , Ryan Boyd , Valentino Tereshko",4.0,296,,Medium,Active,2026-09-10T14:59:55
crunchbase,Emergent,https://www.crunchbase.com/organization/emergent-02ef,https://emergent.sh,https://www.linkedin.com/company/emergentlabs,https://www.facebook.com/p/Emergent-Labs-61578870950028,Pleasanton,California,United States,"San Francisco Bay Area , West Coast , Western US",101-250,,"Artificial Intelligence (AI) , Developer Platform , Software",,"Emergent provides an AI-powered software development platform that turns plain English descriptions into fully functional web and mobile applications without requiring coding skills. Its service uses autonomous AI agents to handle design, backend logic, database integration, authentication, deployment, and scaling, delivering production-ready apps from concept to live product. Users interact with the platform through a conversational interface to describe what they want built, refine requirements, and generate editable code. The platform also supports custom integrations and workflow automation to help product teams and non-technical builders accelerate app creation. Emergent focuses on simplifying the software development lifecycle by automating full-stack generation from natural language prompts.",2024,For Profit,Series C,"$130,000,000","Jul 15, 2026","Madhav Jha , Mukund Jha",2.0,315,,Low,Active,2026-09-10T14:59:55
crunchbase,Neros Technologies,https://www.crunchbase.com/organization/neros-technologies,https://www.neros.tech,https://www.linkedin.com/company/neros-tech,,Los Angeles,California,United States,"Greater Los Angeles Area , West Coast , Western US",101-250,,"Aerospace , Drones , Robotics , Software",,"Neros Technologies is a defense technology company specializing in the development and manufacturing of advanced unmanned aerial systems (UAS). The Neros Archer, the company's flagship product, is a high-performance, long-range First-Person View (FPV) drone certified by BlueUAS. Designed for large-scale deployment, it is optimized for long-range missions with resistance to electronic warfare and can carry a 2 kg (approximately 4.5 lbs) payload over a distance of 20 kilometers.",2023,For Profit,Series C,"$250,000,000","Aug 11, 2026","Olaf Hichwa , Soren Monroe-Anderson",2.0,330,,High,Active,2026-09-10T14:59:55
crunchbase,Twelve Labs,https://www.crunchbase.com/organization/twelve-labs-62b5,http://twelvelabs.io,https://www.linkedin.com/company/twelvelabs,https://www.facebook.com/p/TwelveLabs-61575755852747,San Francisco,California,United States,"San Francisco Bay Area , West Coast , Western US",11-50,,"Generative AI , Information Technology , Software , Visual Search",,"TwelveLabs develops artificial intelligence models and infrastructure for understanding, searching, and analyzing video content. Its platform enables applications to interpret visual, audio, and spoken information within videos, allowing users to perform semantic search, generate summaries, identify events and objects, and extract insights from video data. The company provides APIs and multimodal AI models that support use cases across media, entertainment, security, enterprise knowledge management, and other video-intensive applications. It also conducts research in video understanding and machine learning to improve how AI processes and reasons over video content.",2021,For Profit,Series B,"$100,000,000","Jul 1, 2026","Aiden Lee , Dave Chung , Jae Lee , SJ Kim , Soyoung Lee",5.0,357,,High,Active,2026-09-10T14:59:55
crunchbase,Augustus,https://www.crunchbase.com/organization/augustus-86bf,https://www.augustus.com,https://www.linkedin.com/company/augustusbank,,San Francisco,California,United States,"San Francisco Bay Area , West Coast , Western US",11-50,,"Artificial Intelligence (AI) , Banking , Blockchain , Cloud Computing , Cryptocurrency , Financial Services , FinTech , Payments , Software",,"Augustus builds an AI-native, stablecoin-based clearing and banking platform for financial institutions. The company focuses on enabling digital asset and stablecoin-based clearing to support payments and banking workflows. Its platform is designed for banks, fintechs, and other regulated financial institutions that require infrastructure for digital asset transactions. Augustus integrates artificial intelligence into its systems to support automated processes and decisioning around payments and clearing. The company positions its offerings as core banking and payments infrastructure centered on digital assets rather than traditional legacy systems.",2021,For Profit,Series B,"$180,000,000","Jul 21, 2026","Ferdinand Dabitz , Joshua Becker , Peter Mosebjane Lieck , Simon Wimmer",4.0,362,,High,Active,2026-09-10T14:59:55
crunchbase,Rigetti Computing,https://www.crunchbase.com/organization/rigetti-computing,http://www.rigetti.com,https://www.linkedin.com/company/rigetti-computing,https://www.facebook.com/rigetticomputing,Berkeley,California,United States,"San Francisco Bay Area , West Coast , Western US",101-250,,"AI Infrastructure , Artificial Intelligence (AI) , Big Data , Hardware , Quantum Computing , Semiconductor , Software",,"Rigetti Computing is a full-stack quantum computing company. It designs and manufactures quantum-integrated circuits. It packages and deploys those chips in a low-temperature environment, and they build control systems to perform quantum logic operations on them. The company develops software to integrate its systems directly into existing cloud infrastructure. It has also developed new algorithms for quantum computing, with a focus on near-term applications in computational chemistry and machine learning. Our product, Forest, is the world’s first full-stack programming and execution environment for quantum/classical computing.",2013,For Profit,Grant,"$100,000,000","May 21, 2026","Chad Rigetti , Spencer Rascoff",2.0,370,,High,Active,2026-09-10T14:59:55
crunchbase,Yoodli,https://www.crunchbase.com/organization/yoodli,https://www.yoodli.ai,https://www.linkedin.com/company/yoodli,https://www.facebook.com/yoodliai,Seattle,Washington,United States,"Greater Seattle Area , West Coast , Western US",101-250,,"Artificial Intelligence (AI) , Education , Information Technology , Software , Training",,"Yoodli is an AI-enabled platform that provides feedback on its users' communication skills. Yoodli’s platform allows users to develop personas for simulating discussions with one or more individuals. The company’s model is built on successful communication strategies and can be tailored to align with an organization’s objectives. Users can practice speeches, navigate difficult conversations, or prepare for job interviews in a judgment-free environment, making it ideal for personal and professional development.",2021,For Profit,Series B,"$40,000,000","Dec 2, 2025","Esha Joshi , Varun Puri",2.0,407,,Low,Active,2026-09-10T14:59:55
crunchbase,Rundoo,https://www.crunchbase.com/organization/rundoo,https://www.rundoo.ai,https://www.linkedin.com/company/rundoo,,Redwood City,California,United States,"San Francisco Bay Area , Silicon Valley , West Coast",101-250,,"Artificial Intelligence (AI) , Retail , SaaS , Software , Supply Chain Management",,"Rundoo provides an AI-powered point-of-sale and retail management platform for hardware, paint, lawn and garden, farm and feed, and lumber stores. It supports sales, inventory, purchasing, pricing, customer accounts, reporting, and e-commerce.",2021,For Profit,Series B,"$30,000,000","Aug 19, 2026","Andrew Beckman , Nick Hershey",2.0,450,,High,Active,2026-09-10T14:59:55
